budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
1000000,Kino Link Company,USA,Michael Almereyda,Drama,446934,Nadja,9/1/1995,93,6.0,Elina LÑwensohn,2586,1994
19200000,Walt Disney Pictures,USA,Xavier Koller,Adventure,3337685,Squanto: A Warrior's Tale,10/28/1994,102,6.1,Adam Beach,939,1994
18000000,Metro-Goldwyn-Mayer (MGM),USA,Mick Jackson,Comedy,7503192,Clean Slate,5/6/1994,107,5.7,Dana Carvey,3264,1994
20000000,Capitol Films,South Africa,Bruce Beresford,Comedy,2308390,A Good Man in Africa,9/9/1994,94,5.0,Colin Friels,2032,1994
6000000,PolyGram Filmed Entertainment,USA,Bryan Singer,Crime,23341568,The Usual Suspects,9/15/1995,106,8.6,Kevin Spacey,814470,1995
12000000,Paramount Pictures,USA,Amy Heckerling,Comedy,56631572,Clueless,7/19/1995,97,6.8,Alicia Silverstone,136975,1995
29000001,Universal Pictures,USA,Terry Gilliam,Mystery,57141459,Twelve Monkeys,1/5/1996,129,8.0,Bruce Willis,500403,1995
1500000,Guys Upstairs,USA,Larry Clark,Drama,7417210,Kids,9/1/1995,91,7.0,Leo Fitzpatrick,63097,1995
3500000,New Line Cinema,USA,F. Gary Gray,Comedy,27467564,Friday,4/26/1995,91,7.3,Ice Cube,82224,1995
2500000,Castle Rock Entertainment,USA,Richard Linklater,Drama,5535405,Before Sunrise,1/27/1995,101,8.1,Ethan Hawke,207167,1995
18000000,New Line Cinema,USA,Paul W.S. Anderson,Action,70454098,Mortal Kombat,8/18/1995,101,5.8,Christopher Lambert,87007,1995
